Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;;;Bahnsteig B 2;10259671;PAufzug_Thyssen 23 13 22 091_Bstg.2;68229;Mannheim;BAHNSTEIG 2;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;AUßEN;1050,0;BAHNSTEIG 1;;;;;zu Gleis 2;;231322091;;8,5720016;49,4382114;;
;03932;Mannheim-Neckarau;Bahnsteig 01;10501561;MA-Neckarau Aufzug Bahnsteig 1/2;68199;Mannheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Mannheim-Neckarau;10501562;MA-Neckarau Aufzug PU zum Gehweg;68199;Mannheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;03934;Mannheim-Rheinau;Bahnsteig 02;10501568;MA-Rheinau Aufzug Bahnsteig 2/3;68219;Mannheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;03935;Mannheim-Seckenheim;Bahnsteig 01;10502204;Ma-Seckenheim Aufzug Bahnsteig 1;68239;Mannheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 02;10502205;Ma-Seckenheim Aufzug Bahnsteig 2;68239;Mannheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;03941;Marbach (Neckar);Bahnsteig 01;10468412;PAufzug_HA0368_Bstg.1;71672;Marbach am Neckar;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;;2,0;;;;;;;;;;zu Gleis 1;;287211062;;9,2641377;48,943521;;
;;;Bahnsteig 02;10468413;PAufzug_HA0369_Bstg.2;71672;Marbach am Neckar;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;;2,0;;;;;;;;;;zu Gleis 2/3;;287211063;;9,2640072;48,9436529;;
;04001;Maubach;Bahnsteig 01;10477335;PAufzug_HA0356_Bstg.1;71522;Backnang;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,08;;1000,0;;;;;;zu Gleis 1;;287212019;;9,4194885;48,9261309;;
;;;Bahnsteig 02;10477336;PAufzug_HA0357_Bstg.2;71522;Backnang;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,13;;1000,0;;;;;;zu Gleis 2;;287212020;;9,4195835;48,9262908;;
;04015;Meckenbeuren;Bahnsteig 1;10458218;PAufzug_HA0703_Bstg.1;88074;Meckenbeuren;BSTG.1;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,29;;675,0;;;;;;zu Gleis 1;;287610056;;9,558595126;47,6996807;;
;;;Bahnsteig 2;10458219;PAufzug_HA0702_Bstg.2;88074;Meckenbeuren;BSTG.2;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,29;;675,0;;;;;;zu Gleis 2;;287610057;;9,558242002;47,69970266;;
;04017;Meckesheim;Bahnsteig A 1;10440836;PAufzug_OTIS 47NAM278_Bstg.1;74909;Meckesheim;ZUGANG ZUM BAHNSTEIG;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,13;AUßEN;1050,0;ZUGANG ZUM BAHNSTEIG;;;;;zu Gleis 1;;47NAM278;;8,8131751;49,3205154;;
;;;Bahnsteig B 2/3;10440838;PAufzug_OTIS 47NAL642_Bstg.2;74909;Meckesheim;BAHNSTEIG 2/3;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,43;AUßEN;1050,0;BAHNSTEIG 2/3;;;;;zu Gleis 2/3;;47NAL642;;8,8130491;49,3203615;;
;04145;Möckmühl;Bahnsteig A 1;10536797;Möckmühl Aufzug Bstg 1;74219;Möckmühl;; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig B 2;10536798;Möckmühl Aufzug Bstg 2/3;74219;Möckmühl;; ;2020;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;04189;Mössingen;Bahnsteig 2;10084761;PAufzug_HA0381_Bstg.2;72116;Mössingen;BAHNSTEIG 2;Stricker Aufzüge Gmbh;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,53;5,0;BAHNSTEIG;700,0;;;;;;zu Gleis 2;;;;9,046232226;48,40409301;;
;04197;Mühlacker;Bahnsteig A -- Gleis 1;10491737;PAufzug_Bstg. 1;75417;Mühlacker;;ThyssenKrupp Aufzüge GmbH;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;;4,128;;;;;;;;zu Gleis 1;;287313040;;8,84539;48,952877;;
;;;Bahnsteig B -- Gleis 2/3;10491738;PAufzug_Bstg. 2/3;75417;Mühlacker;;ThyssenKrupp Aufzüge GmbH;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 2/3;;287313041;;8,84536;48,952997;;
;;;Bahnsteig C -- Gleis 5;10491739;PAufzug_Bstg. 5;75417;Mühlacker;;ThyssenKrupp Aufzüge GmbH;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 5;;287313042;;8,84532;48,953123;;
;04223;Müllheim (Baden);Müllheim, Bahnsteigbereich;10499588;Müllheim Aufzug Abgang zur UF;79379;Müllheim;; ;2024;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;;;;;;;;
;04287;Murrhardt;Bahnsteig 02;10267594;PAufzug_HA0349_Bstg.2;71540;Murrhardt;BSTG.2;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,62;UNTERFÜHRUNG - BSTG.2;1000,0;;;;;;zu Gleis 2/3;;;;9,577524507;48,98289219;;
;04316;Mosbach-Neckarelz;Bahnsteig A 1;10265082;PAufzug_Thyssen 23 17 13 106_Bstg.1;74821;Mosbach-Neckarelz;BAHNSTEIG 1;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,32;AUßEN;1050,0;BAHNSTEIG 1;;;;;zu Gleis 1;;231713106;;9,11286574;49,34845901;;
;;;Bahnsteig B 2/3;10265083;PAufzug_Thyssen 23 17 13 107_Bstg. 2/3;74821;Mosbach-Neckarelz;BAHNSTEIG 2/3;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,215;AUßEN;1050,0;BAHNSTEIG 2/3;;;;;zu Gleis 2/3;;231713107;;9,113097975;49,34843556;;
;04317;Neckargemünd;Bahnsteig A 1;10262289;PAufzug_Thyssen 23 13 22 088_Bstg.1;69151;Neckargemünd;BAHNSTEIG 1;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,509;AUßEN;1050,0;BAHNSTEIG 1;;;;;zu Gleis 1;;231322088;;8,7878262;49,3938509;;
;;;Bahnsteig B 2/3;10262292;PAufzug_Thyssen 23 13 22 089_Bstg.2;69151;Neckargemünd;BAHNSTEIG 2;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,48;AUßEN;1050,0;BAHNSTEIG 2/3;;;;;zu Gleis 2/3;;231322089;;8,7879127;49,3937123;;
;;;Bahnsteig C 4;10440848;PAufzug_OTIS 47KAL408_Bstg.4;69151;Neckargemünd;BAHNSTEIG 4;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,59;AUßEN;1050,0;BAHNSTEIG 4;;;;;zu Gleis 4;;47KAL408;;8,7879877;49,3935582;;
;04322;Neckarsulm;Bahnsteig A 1;10477727;PAufzug_Thyssen 28 72 13 012_Bstg.1;74172;Neckarsulm;BAHNSTEIG 1;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,97;AUßEN;1050,0;BAHNSTEIG 1;;2100,0;1100,0;2200,0;zu Gleis 1;;287213012;ES1;9,2201105;49,189078;;
;;;Bahnsteig B 2/3;10477728;PAufzug_Thyssen 28 72 13 013_Bstg.2;74172;Neckarsulm;BAHNSTEIG 2;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,03;AUßEN;1050,0;BAHNSTEIG 2;;2100,0;1100,0;2200,0;zu Gleis 2/3;;287213013;;9,2199343;49,1891256;;
;04414;Neulußheim;Bahnhofsvorplatz;10534241;Neulußheim Aufzug Bahnhofsvorplatz;68809;Neulußheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 01;10502150;Neulußheim Aufzug zum Bstg. 1/2;68809;Neulußheim;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;04451;Neustadt (Schwarzw);Neustadt, Bahnsteig 1;10501795;Neustadt Aufzug Bahnsteig 1;79822;Neustadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Neustadt, Bahnsteig 2/3;10501796;Neustadt Aufzug Bahnsteig 2/3;79822;Neustadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;04467;Neuwirtshaus-Porscheplatz;Unterführung;10357516;PAufzug_HA0315_Bstg.1, Gl.1;70435;Stuttgart;BAHNSTEIG 1 (287008113);Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,9;;1050,0;;;;;;zu Gleis 1;;287008113;;9,1521596;48,8339228;;
;;;;10357517;PAufzug_HA0316_Bstg.2, Gl.2;70435;Stuttgart;BAHNSTEIG 2 (287008114);Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,9;;1050,0;;;;;;zu Gleis 2;;287008114;;9,1521564;48,8337406;;
;04483;Niederbiegen;Bahnsteig 2 (Gleis FN-Ulm);10271575;PAufzug_HA0700_Bstg.2;88255;Baienfurt;BAHNSTEIG 2;Brobeil Aufzüge GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;2,0;;;0,46;7,0;AUßEN;630,0;;;;;;zu Gleis 2;;;;9,621017189;47,8302962;;
;;;Bahnsteig 3 (Gleis Ulm-FN);10271576;PAufzug_HA0701_Bstg.3;88255;Baienfurt;BAHNSTEIG 3;Brobeil Aufzüge GmbH & Co. KG;1999;Personenaufzüge;HYDRAULISCH;2,0;;;0,46;7,0;AUßEN;630,0;;;;;;zu Gleis 3;;;;9,620731501;47,830334;;
;04612;Nürtingen;Außenanlagen sonstige;10313574;PAufzug_HA0385_Bf Vorplatz;72622;Nürtingen;BF VORPLATZ;Schindler GmbH;2000;Personenaufzüge;SEIL;2,0;;;;3,88;;1050,0;;;;;;von EG zu Tunnel;;;;9,34225;48,62811;;
;;;Bahnsteig 2;10313577;PAufzug_HA0386_Bstg.2;72622;Nürtingen;PERSONENAUFZUG BSTG.2;Schindler GmbH;2005;Personenaufzüge;SEIL;2,0;;;1,0;4,520000000000001;;1050,0;;;;;;zu Gleis 2/3;;;;9,34278;48,62801;;
;04638;Oberesslingen;Bahnhofsvorplatz 1;10495188;PAufzug_HA1501_Bhf. Vorplatz bei EG;73730;Esslingen am Neckar;VORPLATZ NEBEN EMPFANGSGEBÄUDE;Schindler GmbH;2000;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,11;;1000,0;;;;;;von EG zu Tunnel;;10754877;;9,32708;48,7303;;
;;;Bahnsteig 02;10495189;PAufzug_HA1502_Bstg.2, Gl.3/4;73730;Esslingen am Neckar;BAHNSTEIG GL. 3/4;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,38;;1050,0;;;;;;zu Gleis 3/4;;10754878;;9,3269;48,729934;;
;04657;Oberkochen;Bahnhofsvorplatz 1;10457315;PAufzug_Oberkochen_Zugang;73447;Oberkochen;;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;von EG zu Tunnel;;;;10,10709635;48,78222082;;
;;;Bahnsteig 01 Mittelbstg.;10457314;PAufzug_Oberkochen_Bstg.1;73447;Oberkochen;;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 1/2;;;;10,10715199;48,78216456;;
;04670;Oberndorf (Neckar);Oberndorf, Bahnsteig 1;10568082;AUfzug Bstg.1;78727;Oberndorf;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Oberndorf, Bahnsteig 2/3;10568083;Aufzug Bstg.2;78727;Oberndorf;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;04745;Offenburg;Offenburg, Bahnsteig 1 Gleis 1/2;10258442;PAufzug_Offenburg_Bstg. 1;77652;Offenburg;BSTG. 1 GLEIS 1/2;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,494;;1050,0;;;;;;zu Gleis 1/2;;;;7,9458866;48,4758323;;
;;;Offenburg, Bahnsteig 2 Gleis 3/4;10258538;PAufzug_Offenburg_Bstg. 2, Gleis 3/4;77652;Offenburg;BAHNSTEIG 3/4, GLEIS 3/4;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,494;;1050,0;;;;;;zu Gleis 3/4;;;;7,9461502;48,475769;;
;;;Offenburg, Bahnsteig 3 Gleis 5/6;10258540;PAufzug_Offenburg_Bstg. 3;77652;Offenburg;BSTG. 3 GLEIS 5/6;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,494;;1050,0;;;;;;zu Gleis 5/6;;;;7,9464148;48,4757036;;
;;;Offenburg, Bahnsteig 4 Gleis 7;10277444;PAufzug_Offenburg_Bstg. 4;77652;Offenburg;BAHNSTEIG 4, GLEIS 7;Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,494;;1050,0;;;;;;zu Gleis 7;;;;7,9465476;48,475671;;
;;;Unterführung;10258236;PAufzug_Offenburg_UF, Ausgang Stadt West;77652;Offenburg;UF AUSGANG STADT WESTSEITE;Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,494;;1050,0;;;;;;von EG zu Tunnel;;;;7,9457385;48,475867;;
;04818;Ötigheim;Bahnsteig B -- Gleis 2 -- Ri Karlsruhe;10462958;PAufzug_Bstg. 2;76470;Ötigheim;;ThyssenKrupp Aufzüge GmbH;2012;Personenaufzüge;SEIL;2,0;;;1,0;4,0;;1050,0;;;;;;zu Gleis 2/3;;287310056;;8,2409801;48,8890188;;
;04922;Pforzheim Hbf;Bahnsteig A -- Gleis 1;10463845;PAufzug_Bstg. 1;75175;Pforzheim;;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 1;;47KAL822;;8,7030302;48,8938435;;
;;;Bahnsteig B -- Gleis 2/3;10463846;PAufzug_Bstg. 2/3;75175;Pforzheim;AUFZUG BSTG. 2/3 PFORZHEIM;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/3;;47KAL823;;8,7029761;48,8939874;;
;;;Bahnsteig C -- Gleis 4/5;10463849;PAufzug_Bstg. 4/5;75175;Pforzheim;AUFZUG BSTG. 4/5;OTIS GmbH & Co. OHG;2012;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 4/5;;;;8,7029818;48,8941369;;
;04930;Philippsburg (Baden);Bahnsteig B -- Gleis 2 -- Ri Graben-Neud;10463254;PAufzug_Bstg. 2;76661;Philippsburg;;ThyssenKrupp Aufzüge GmbH;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,0;;;;;;;;zu Gleis 2;;283210043;;8,4548035;49,2310705;;
;04967;Plochingen;Unterführung;10457932;PAufzug_HA0307_Bstg.1;73207;Plochingen;BAHNSTEIG 1;Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,71;;675,0;;;;;;zu Gleis 1;;287010140;;9,4117977;48,7130432;;
;;;;10457933;PAufzug_HA0308_Bstg.4, Gl.9/10;73207;Plochingen;BAHNSTEIG 4;Thyssen Krupp;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,475000000000001;;675,0;;;;;;zu Gleis 9/10;;287010141;;9,410957;48,7126977;;
;05150;Ravensburg;Bahnsteig 2;10313606;PAufzug_Ravensburg_Bstg.2;88214;Ravensburg;BAHNSTEIG 2;Kone;2004;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/3;;;;9,6058668;47,7840853;;
;05226;Renningen;Bahnsteig 02;10475089;PAufzug_HA0337_Bstg.2, Gl.2/3;71272;Renningen;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,71;;1000,0;;;;;;zu Gleis 2/3;;287312059;;8,9309252;48,7749399;;
;05242;Reutlingen Hbf;Bahnsteig 1;10300613;PAufzug_HA0383_Bstg.1;72764;Reutlingen;BAHNSTEIG 1;Schindler GmbH;2005;Personenaufzüge;SEIL;2,0;;;;3,98;;1050,0;;;;;;zu Gleis 1;;;;9,209621;48,4963183;;
;;;Bahnsteig 2;10300610;PAufzug_HA0384_Bstg.2;72764;Reutlingen;BAHNSTEIG 2;Schindler GmbH;2005;Personenaufzüge;SEIL;2,0;;;;4,600000000000001;;1050,0;;;;;;zu Gleis 2/3;;;;9,2093885;48,4964215;;
;05333;Rommelshausen;Bahnsteig 01;10303020;PAufzug_HA0338_Bstg.1;71394;Kernen;BAHNSTEIG 1;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 1;;5840798;;9,3190268;48,8154994;;
;;;Bahnsteig 02;10303022;PAufzug_HA0339_Bstg.2;71394;Kernen;BAHNSTEIG 2;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 2;;5840799;;9,3190799;48,8155913;;
;05377;Rot-Malsch;Bahnsteig 02;10257849;PAufzug_Thyssen 23 13 22 130_Bstg.2;69254;Malsch;BAHNSTEIG 2;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,55;AUßEN;1050,0;BAHNSTEIG 2;;;;;zu Gleis 2/3;;231322130;;8,6522705;49,2431684;;
;05405;Rottweil;Rottweil, Bahnsteig 1;10099555;PAufzug_HA0718_Bstg. 1;78628;Rottweil;BSTG. 1;Haushahn GmbH & Co. KG;2000;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;0,63;5,0;;800,0;;;;;;zu Gleis 1;;;;8,6390638;48,1653672;;
;;;Rottweil, Bahnsteig 2, Gleis 2/3;10099567;PAufzug_HA0719_Bstg. 2;78628;Rottweil;BSTG. 2;Haushahn GmbH & Co. KG;2000;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;0,63;5,0;;800,0;;;;;;zu Gleis 2/3;;;;8,6390691;48,165216;;
;;;Rottweil, Bahnsteig 3, Gleis 4/5;10099595;PAufzug_HA0720_Bstg. 3;78628;Rottweil;BSTG.3;Haushahn GmbH & Co. KG;2000;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;2,0;2,0;0,63;5,0;;800,0;;;;;;zu Gleis 4/5;;;;8,6390884;48,1650738;;
;05677;Schopfheim;Bahnsteig 02;10319072;PAufzug_Schopfheim_Bstg. 2;79650;Schopfheim;BAHNSTEIG 2;OTIS GmbH & Co. OHG;2000;Personenaufzüge;SEIL;2,0;;2,0;;4,01;;1070,0;;;;;;zu Gleis 2/3;;;;7,822123999;47,64776678;;
;05682;Schorndorf;Bahnsteig 01, Gleis 1;10307731;PAufzug_HA0391_Bstg.2, Gl.2/3;73614;Schorndorf;WARTUNG DUCH STADT;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,58;;1000,0;;;;;;zu Gleis 2/3;;5840774;;9,5260539;48,8068934;;
;;;Bahnsteig 02, Gleise 2+3;10307734;PAufzug_HA0392_Bstg.3, Gl.4/5;73614;Schorndorf;WARTUNG DUCH STADT;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,22;;1000,0;;;;;;zu Gleis 4/5;;5840775;;9,5260327;48,8070949;;
;;;Bahnsteig 03, Gleise 4+5;10307753;PAufzug_HA0390_Bstg.1, Gl.1;73614;Schorndorf;WARTUNG DUCH STADT;Kone;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,17;;1000,0;;;;;;zu Gleis 1/14;;5840773;;9,5258688;48,8071943;;
;05699;Schwäbisch Gmünd;Bahnsteig 01;10483561;PAufzug_Schwäbisch Gmünd_Bstg.1;73525;Schwäbisch Gmünd;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;;;;;;;;zu Gleis 1;;287413035;;9,7878145;48,8008813;;
;;;Bahnsteig 02;10483562;PAufzug_Schwäbisch Gmünd_Bstg.2;73525;Schwäbisch Gmünd;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;;;;;;;;zu Gleis 2/4;;287413036;;9,7875127;48,8010451;;
;05707;Schwaikheim;Bahnsteig 01;10463777;PAufzug_HA0358_Bstg.1;71409;Schwaikheim;BSTG.1 FABR.NR.47NAM756;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,33;;1050,0;;;;;;zu Gleis 1;;47NAM756;;9,3552004;48,8685452;;
;;;Bahnsteig 02;10463775;PAufzug_HA0359_Bstg.2;71409;Schwaikheim;BSTG.2 FABR.NR.47NAM757;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;;1,0;4,41;;1050,0;;;;;;zu Gleis 2;;47NAM757;;9,3553008;48,8683423;;
;05752;Schwenningen (Neckar);Schwenningen, Bahnsteig 1;10428709;PAufzug_Schwenningen_Bstg. 1;78054;Schwenningen;WARTUNG DURCH STADT;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;;;1,0;4,62;;1000,0;;;;;;zu Gleis 1;;;;8,5359846;48,0600657;;
;;;Schwenningen, Bahnsteig 2;10428710;PAufzug_Schwenningen_Bstg. 2;78054;Schwenningen;WARTUNG DURCH STADT;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;;;1,0;4,62;;1000,0;;;;;;zu Gleis 2;;;;8,5360829;48,0599949;;
;05766;Schwetzingen;Bahnsteig 01;10501573;PA_Bstg.1_Schindler_10996498;68723;Schwetzingen;BAHNSTEIG 1;Schindler;2018;Personenaufzüge;SEIL;2,0;2,0;1,0;;4,0;;1050,0;ZU GLEIS 1;;;;;ZU GLEIS 1;;10996498;;8,57835;49,38377;;
;;;Bahnsteig 02;10501574;PA_Bstg.2/3_Schindler_10996499;68723;Schwetzingen;BAHNSTEIG 2/3;Schindler;2018;Personenaufzüge;SEIL;2,0;2,0;1,0;;4,17;;1050,0;ZU GLEIS 2/3;;;;;ZU GLEIS 2/3;;10996499;;8,57856;49,3838;;
;05774;Seckach;Bahnsteig A 1;10257662;PAufzug_Mayer_Bstg.1;74743;Seckach;;Aufzugbau Mayer;2003;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;;;;;;;;;;zu Gleis 1;;;;9,3383682;49,4413415;;
;;;Bahnsteig B 2/3;10460180;PAufzug_Seckach_Bstg. 2/3;74743;Seckach;BAHNSTEIG 2;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/3;;;;9,3384961;49,4414588;;
;05865;Singen (Hohentwiel);Bahnsteig 01;10058135;PAufzug_HA0711_Bstg.1;78224;Singen;BSTG. 1;Haushahn GmbH & Co. KG;2000;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,63;4,0;AUSSEN;800,0;;;;;;zu Gleis 1/6/8;;;;8,8415905;47,7592723;;
;;;;10556239;Bstg. 1, Personenaufzug HA 711;78224;Singen;BAHNSTEIGBEREICH;Schindler;2018;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,354;MASCHINENRAUM UNTEN;675,0;;;;;;Gleis 1;;20048400;;8,8415905;47,7592723;;
;;;Bahnsteig 02;10211024;PAufzug_HA0712_Bstg.2;78224;Singen;BSTG. 2;Haushahn GmbH & Co. KG;2000;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,63;4,414000000000001;AUSSEN;800,0;;;;;;zu Gleis 2/3;;;;8,841731;47,7591323;;
;;;;10556241;Bstg. 2, Personenaufzug HA 712;78224;Singen;BAHNSTEIGBEREICH;Schindler;2018;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,451000000000001;MASCHINENRAUM UNTEN;675,0;;;;;;Gleis 2/3;;20048400-1;;8,841731;47,7591323;;
;;;Bahnsteig 03;10058145;PAufzug_HA0713_Bstg.3;78224;Singen;BSTG. 3;Haushahn GmbH & Co. KG;2000;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,63;4,035;AUSSEN;800,0;;;;;;zu Gleis 4/5;;;;8,841837;47,7590268;;
;;;;10556240;Bstg. 3, Personenaufzug HA 713;78224;Singen;BAHNSTEIGBEREICH;Schindler;2019;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,306;MASCHINENRAUM UNTEN;675,0;;;;;;Gleis 4/5;;20048400-2;;8,841837;47,7590268;;
;05870;Sinsheim (Elsenz) Hbf;Bahnsteig A 1;10440328;PAufzug_OTIS 47NAL407_Bstg.1;74889;Sinsheim (Elsenz);ZUGANG ZUM BAHNSTEIG;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,75;AUßEN;1070,0;ZUGANG AM BAHNSTEIG;;;;;zu Gleis 1;;47NAL407;;8,8753974;49,2503582;;
;;;Bahnsteig B 2/3;10440734;PAufzug_OTIS 47NAL406_Bstg.2;74889;Sinsheim (Elsenz);BAHNSTEIG 2/3;OTIS GmbH & Co. OHG;2009;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,850000000000001;AUßEN;1070,0;BAHNSTEIG 2/3;;;;;zu Gleis 2/3;;47NAL406;;8,8750505;49,2503012;;
;05987;Friedrichshafen Flughafen;Bahnsteig 1 (Gleis FN-Ulm);10458220;PAufzug_HA0704_Bstg.1;88046;Meckenbeuren;BSTG.1;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;;;1,0;6,060000000000001;;630,0;;;;;;zu Gleis 1;;287610054;;9,5238494;47,6721878;;
;;;Bahnsteig 2 (Gleis Ulm-FN);10458221;PAufzug_HA0705_Bstg.2;88046;Meckenbeuren;BSTG.2;ThyssenKrupp Aufzüge GmbH;2011;Personenaufzüge;SEIL;2,0;;;1,0;6,060000000000001;;630,0;;;;;;zu Gleis 2;;287610055;;9,5238103;47,6723561;;
